id	centroid	lumen_area	lumen_peri	lumen_aoma_rad	lumen_diam_rad	lumen_diam_tang	cell_area	cw_peri	CWT_pith	CWT_left	CWT_right	CWT_bark	cluster
146	(1133, 48)	788.099904907916	108.5945668199514	175.27345275878906	36.80528887193408	28.637647105448146	1527.4893749150965	169.16299559471366	25.168674	43.150604	21.497604	19.515749	11
147	(1089, 451)	88.00869413340061	39.21241949308286	160.96109008789062	13.495427402415173	7.731786252639644	230.93791845368628	81.93832599118943	11.335659	18.861729	13.081473	18.75997	2
148	(1125, 325)	1485.2801335170486	147.8329223158076	1.6086450815200806	53.963099052446424	37.785382461952594	2413.7864115352522	219.38325991189427	21.589855	41.746048	20.993639	26.786491	2
149	(1059, 128)	1720.0993615245784	165.45406779528713	173.4193115234375	61.944511583897096	38.387195003151724	2272.7008092530423	219.38325991189427	16.064274	13.539369	10.689234	18.91756	2
150	(1046, 212)	1541.0739583535485	158.96599655109355	165.124755859375	56.49126117615894	37.31228872104494	2171.5926953754197	220.26431718061673	14.833986	10.748398	23.0433	22.415869	2
151	(1033, 477)	894.9329503774574	130.300327807271	177.66998291015625	54.461879587608884	22.814094249456527	1190.3976401637913	164.75770925110132	15.439766	12.368454	0.0	19.109644	2
152	(1018, 44)	1440.742106386695	151.7404365644581	168.49342346191406	54.45768801744536	36.30774089335149	2057.2881290147297	204.40528634361235	15.717317	16.827892	11.853171	25.179094	2
153	(1017, 407)	1652.6616080265483	163.37128273716056	4.640481948852539	68.27498709526678	34.58199196906775	2230.200469638456	215.8590308370044	15.406644	14.900685	11.748192	21.115715	2
154	(950, 1)	2.32878573230608	6.167400881057269				50.2629587222729	37.00440528634361	22.568243	4.190769	15.291647	27.787773	2
155	(997, 272)	496.1283937200412	127.22959565696212	1.8784469366073608	52.98817545223408	12.273168860387656	950.532709736265	185.90308370044053	16.469248	14.605026	8.997056	29.957706	2
156	(989, 326)	1592.986473636205	162.8994469075476	177.7377471923828	62.85958899043249	36.855835543175324	2128.122028372373	215.8590308370044	17.438173	8.7048	13.774162	21.773659	2
157	(929, 218)	1440.0628772147722	149.0163109376042	3.3200478553771973	49.01986668549755	40.92608416280455	1955.2096877486465	200.0	13.120168	11.284987	23.817133	13.995389	2
158	(908, 475)	961.0122455316424	134.963670018486	5.330961227416992	57.19416903263128	22.69801395934064	1249.0054144268277	170.04405286343612	14.126627	9.075447	0.0	16.413467	2
159	(906, 127)	2330.2412233887712	197.23474433243538	173.08004760742188	74.53973382540958	43.36388698137228	2915.057540414136	250.2202643171806	15.295093	11.729394	12.368938	16.30185	2
160	(888, 41)	1759.0094898018592	173.5790242707677	178.2365264892578	67.28775330565395	37.4243198082274	2301.2284344737914	208.81057268722466	19.967228	5.8701253	11.302506	15.097563	2
161	(882, 412)	1521.8614760620235	159.75850295390327	10.659958839416504	61.32314832558317	33.338226550206606	1933.474354247123	208.81057268722466	12.796551	8.960321	9.445933	14.93375	2
162	(854, 333)	1813.7359545110521	172.00475390262017	6.8053998947143555	63.295242367212495	38.041435970507266	2662.384288458926	232.59911894273128	19.282393	46.28321	9.779976	13.804757	2
